atomic #	en	de	lb	nl	af	fy	da	sv	no	is	fo	la	fr	es	ca	oc	pt	gl	it	fur	ro	mo	arm	ru	uk	by	pl	kas	cs	sk	sl	hr	sr	bos	mk	bg	lt	lo	sud	cy	ga	gd	gv	kw	br	el	sq	oss	eu	ka	fi	et	hu	tr	kk	uz	tg	mn	ja	zh	th	vi	ms	ar	mt	he	eo											
21	Scandium	Skandium	Skandium	Scandium	Skandium	Scandium	Scandium or Skandium	Skandium	Scandium	Skandín	Skandium	Scandium	Scandium	Escandio	Escandi	Escandi	Escândio	Escandio	Scandio	Scandi	Scandiu	Scandiu	Scandiumu	Скандий	Скандій	Скандый	Skand	Skónd	Skandium	Skandium	Skandij	Skandij	Скандиjум	Skandij	Скандиум	Скандий	Skandis	Skandijs	Skandijan	Scandiwm	Scaindiam	Scaindiam	Scandjum	Scandyum	Skandiom	Σκανdιο	Skandium	Скандий	Eskandioa	სკანდიუმი	Skandium	Skandium	Szkandium	Skandiyum	Скандий	Скандий	Skandi'	Сканди	スカンジウム [sukanjiumu]	鈧	สแคนเดียม	Scandi	Skandium	سكانديوم	Skandjum	סקנדיום	Skandio
22	Titanium	Titan	Titan	Titaan	Titaan	Titaan	Titan	Titan	Titan	Titan	Titan	Titanium	Titane	Titanio	Titani	Titani	Titânio	Titanio	Titanio	Titani	Titan	Titan	Titanu	Титан	Титан	Тытан	Tytan	Titan	Titan	Titán	Titan	Titanij	Титан	Titanij	Титан	Титан	Titanas	Titāns	Titanas	Titaniwm	Tíotáiniam	Tìotainiam	Çhitaanium	Tytanyum	Titan	Τιτανιο	Titan	Титан	Titanioa	ტიტანი	Titaani	Titaan	Titán	Titan	Титан	Титан	Titan	Титан	チタン [chitan]	鈦	ไทเทเนียม	Titan	Titanium	تيتانيوم	Titanjum	טיטניום	Titano
23	Vanadium	Vanadium	Vanadium	Vanadium	Vanadium	Vanadium	Vanadium	Vanadin	Vanadium	Vanadín	Vanadium	Vanadium	Vanadium	Vanadio	Vanadi	Vanadi	Vanádio	Vanadio	Vanadio	Vanadi	Vanadiu	Vanadiu	Vanadiumu	Ванадий	Ванадій	Ванадый	Wanad	Wônôd	Vanad	Vanád	Vanadij	Vanadij	Ванадиjум	Vanadij	Ванадиум	Ванадий	Vanadis	Vanādijs	Unadijan	Vanadiwm	Vanaidiam	Vanaidiam	Vanaadjum	Vanadyum	Vanadiom	Βαναdιο	Vanad	Ванадий	Banadioa	ვანდიუმი	Vanadiini	Vanaadium	Vanádium	Vanadyum	Ванадий	Ванадий	Vanadi'	Ванади	バナジウム [banajiumu]	釩	วาเนเดียม	Vanađi	Vanadium	فناديوم	Vanadjum	ונדיום	Vanadio
24	Chromium	Chrom	Chrom	Chroom	Chroom	Groom	Chrom or Krom	Krom	Krom	Króm	Krom	Chromium	Chrome	Cromo	Crom	Crom	Crómo	Cromo	Cromo	Crom	Crom	Crom	Cromu	Хром	Хром	Хром	Chrom	Chróm	Chrom (Barvík †)	Chróm	Krom	Krom	Хром	Hrom	Хром	Хром	Chromas	Hroms	Chrāmas	Cromiwm	Cróimiam	Cròimiam	Cromium	Cromyum	Krom	Χρωμιο	Krom	Хром	Kromoa	ქრომი	Kromi	Kroom	Króm	Krom	Хром	Хром	Hrom	Хром	クロム [kuromu]	鉻	โครเมียม	Crom	"Kromium, Krom"	كروم	Kromjum	כרום	Kromo
25	Manganese	Mangan	Mangan	Mangaan	Mangaan	Mangaan	Mangan	Mangan	Mangan	Mangan	Mangan	Manganum	Manganèse	Manganeso	Manganès	Manganès	Manganésio	Manganeso	Manganese	Manganês	Mangan	Mangan	Manganu	Марганец	Марганець	Марганец	Mangan	Mangan	Mangan	Mangán	Mangan	Mangan	Манган	Mangan	Манган	Манган	Manganas	Mangāns	Manganas	Manganîs	Mangainéis	Mangaineis	Manganais	Manganus	Manganez	Μαγγανιο	Mangan	Марганец	Manganesoa	მარგანეცი	Mangaani	Mangaan	Mangán	Mangan	Марганец	Марганец	Mangan	"Манган, Марганц, Хүрэнз"	マンガン [mangan]	錳	แมงกานีส	Mangan	Mangan	منجنيز	Manganiż	מנגן	Mangano
26	Iron	Eisen	Eisen	IJzer	Yster	Izer	Jern	Järn	Jern	Járn	Jarn	Ferrum	Fer	Hierro	Ferro	Fèrre	Ferro	Ferro	Ferro	Fier	Fier	Fier	Heru	Железо	Залізо	Жалеза	Żelazo	Żelazło	Železo	Železo	Železo	Željezo	Гвож	Gvožđe	Железо	Желязо	Geležis	Dzelzs	Gelzā	Haearn	Iarann	Iarann (Iarrnaig)	Yiarn	Horn	Houarn	Σιδηρος	Hekur	Æфсæйнаг	Burdina	რკინა	Rauta	Raud	Vas	Demir	Темір	Темир	Ohan	Төмөр	鉄 [tetsu]	鐵	เหล็ก	Sắt	"Ferum, Besi"	حديد	Ħadid	ברזל	Fero
27	Cobalt	Kobalt	Kobalt	Kobalt	Kobalt	Kobalt	Cobalt or Kobolt	Kobolt	Kobolt	Kóbalt	Kobolt	Cobaltum	Cobalt	Cobalto	Cobalt	Cobalt	Cobalto	Cobalto	Cobalto	Cobalt	Cobalt	Cobalt	Cobaltu	Кобальт	Кобальт	Кобальт	Kobalt	Kabalt	Kobalt (Dasík †)	Kobalt	Kobalt	Kobalt	Кобалт	Kobalt	Кобалт	Кобалт	Kobaltas	Kobalts	Kābaltas	Cobalt	Cóbalt	Còbalt	Cobalt	Cobolt	Kobalt	Κοβαλτιο	Kobalt	Кобальт	Kobaltoa	კობალტი	Koboltti	Koobalt	Kobalt	Kobalt	Кобальт	Кобальт	Kobal't	Кобальт	コバルエ [kobaruto]	鈷	โคบอลต์	Coban	Kobalt	كوبلت	Kobalt	קובלט	Kobalto
28	Nickel	Nickel	Nickel	Nikkel	Nikkel	Nikkel	Nikkel	Nickel	Nikkel	Nikull	Nikkul	Niccolum	Nickel	Níquel	Níquel	Niquèl	Níquel	Níquel	Nichelio	Nichel	Nichel	Nichel	Nichelu	Никель	Нікель	Нікель	Nikiel	Nikel	Nikl (Pochvistík †)	Nikel	Nikelj	Nikal	Никал	Nikal	Никел	Никел	Nikelis	Niķelis	Nikelis	Nicel	Nicil	Nicil	Nickyl	Nykel	Nikel	Νικελιο	Nikel	Згъæры мыггаг	Nikela	ნიკელი	Nikkeli	Nikkel	Nikkel	Nikel	Никель	Никель	Nikel'	Никель	ニッケル [nikkeru]	鎳	นิกเกิล	Nikel	Nikel	نيكل	Nikil	ניקל	Nikelo
29	Copper	Kupfer	Koffer	Koper	Koper	Koper	Kobber	Koppar	Kobber	Kopar or Eir	Kopar	Cuprum	Cuivre	Cobre	Coure	Coire	Cobre	Cobre	Rame	Ram	Cupru	Cupru	Halcumã	Медь	Мідь	Медзь	Miedź	Kòper	Měď	Meď	Baker	Bakar	Бакар	Bakar	Бакар	Мед	Varis	Varš	Varijan	Copor	Copar	Copar	Cobbyr	Cober	Kouevr	Χαλκος	Bakër	Æрхуы	Kobrea	სპილენძი	Kupari	Vask	Réz	Bakır	Мыс	Мис	Mis	Зэс	銅 [dou]	銅	ทองแดง	Đồng	"Kuprum, Tembaga"	نحاس	Ram	נחושת	Kupro
30	Zinc	Zink	Zénk	Zink	Sink	Sink	Zink	Zink	Sink	Sink	Sink	Zincum	Zinc	Zinc	Zinc	Zinc	Zinco	Cinc	Zinco	Zinc	Zinc	Zinc	Tsincu	Цинк	Цинк	Цынк	Cynk	Cynk	Zinek	Zinok	Cink	Cink	Цинк	Cink	Цинк	Цинк	Cinkas	Cinks	Cinkas	Zinc	Sinc	Sinc	Shinc	Synk	Zink	Ψευdαργυρος	Zink	Цинк	Zinka	თუთია	Sinkki	Tsink	Cink	Çinko	Мырыш	Рух	Ruh	Цайр	亜鉛 [aen]	鋅	สังกะสี	Kẽm	"Zink, Seng"	خارصين	Żingu	אבץ	Zinko
