atomic #	en	de	lb	nl	af	fy	da	sv	no	is	fo	la	fr	es	ca	oc	pt	gl	it	fur	ro	mo	arm	ru	uk	by	pl	kas	cs	sk	sl	hr	sr	bos	mk	bg	lt	lo	sud	cy	ga	gd	gv	kw	br	el	sq	oss	eu	ka	fi	et	hu	tr	kk	uz	tg	mn	ja	zh	th	vi	ms	ar	mt	he	eo											
31	Gallium	Gallium	Gallium	Gallium	Gallium	Gallium	Gallium	Gallium	Gallium	Gallín	Gallium	Gallium	Gallium	Galio	Gal·li	Galli	Gálio	Galio	Gallio	Gali	Galiu	Galiu	Galiumu	Галлий	Галій	Галій	Gal	Gôl	Gallium	Gálium	Galij	Gallij	Галиjум	Gallij	Галиум	Галий	Galis	Gallijs	Galijan	Galiwm	Gailliam	Gailliam	Gallium	Galyum	Galliom	Γαλλιο	Galium	Галлий	Galioa	გალიუმი	Gallium	Gallium	Gallium	Galyum	Галлий	Галлий	Galli'	Галли	ガリウム [gariumu]	鎵	แกลเลียม	Gali	Gallium	جاليوم	Galljum	גליום	Galio
32	Germanium	Germanium	Germanium	Germanium	Germanium	Germanium	Germanium	Germanium	Germanium	German	Germanium	Germanium	Germanium	Germanio	Germani	Germani	Germânio	Xermanio	Germanio	Gjermani	Germaniu	Germaniu	Ghermaniumu	Германий	Германій	Германій	German	Germón	Germanium	Germánium	Germanij	Germanij	Германиjум	Germanij	Германиум	Гермаиий	Germanis	Ģermānijs	Germanis	Germaniwm	Gearmáiniam	Gearmainiam	Germaanium	Germanyum	Germaniom	Γερμανιο	Germanium	Германий	Germanioa	გერმანიუმი	Germanium	Germaanium	Germánium	Germanyum	Германий	Германий	Germani'	Германи	ゲルマニウム [gerumaniumu]	鍺	เจอร์เมเนียม	Gecmani	Germanium	جرمانيوم	Ġermanjum	גרמניום	Germanio
33	Arsenic	Arsen	Arsen	Arseen	Arseen	Arsenikum	Arsen	Arsenik	Arsen	Arsen	Arsenikk	Arsenicum	Arsenic	Arsénico	Arsènic	Arsenic	Arsénic	Arsénico	Arsenico	Arsenic	Arsen	Arsen	Aresenu	Мышъяк	Міш'як	Мыш'як	Arsen	Arsén	Arzen	Arzén	Arzen	Arsen	Арсен	Arsen	Арсен	Арсен	Arsenas	Arsēns	Arsenas	Ársenig	"Airsnic, Arsnaig, Arsanaic"	Arsanaic	Arsnick	Arsenyk	Arsenik	Αρσενικο	Arsenik	Мышъяк	Artsenikoa	დარიშხბანი	Arseeni	Arseen	Arzén	Arsenik	Мышъяк	Мишъяк	Mysh'yak	"Мишьяк, Хүнцэл"	ヒ素 [hiso]	砷	สารหนู	Asen	"Arsenik, Arsen"	زرنيخ	Arsenik	ארסן	Arseno
34	Selenium	Selen	Selen	Selenium	Selenium	Selenium	Selen	Selen	Selen	Selen	Selen	Selenium	Sélénium	Selenio	Seleni	Selèni	Selénio	Selenio	Selenio	Seleni	Seleniu	Seleniu	Selenuu	Селен	Селен	Селен	Selen	Selén	Selen	Selén	Selen	Selenij	Селен	Selen	Селен	Селен	Selenas	Selēns	Selenas	Seleniwm	Seiléiniam	Seilèiniam	Shellainium	Selenyum	Seleniom	Σεληνιο	Selen	Селен	Selenioa	სელენი	Seleeni	Seleen	Szelén	Selenyum	Селен	Селен	Selen	Селен	セレン [seren]	硒	ซีลีเนียม	Selen	Selenium	سيلينيوم	Selinjum	סלניום	Seleno
35	Bromine	Brom	Brom	Broom	Broom	Broom	Brom	Brom	Brom	Bróm	Brom	Bromium	Brome	Bromo	Brom	Bròm	Bromo	Bromo	Bromo	Brom	Brom	Brom	Bromu	Бром	Бром	Бром	Brom	Bróm	Brom	Bróm	Brom	Brom	Бром	Brom	Бром	Бром	Bromas	Broms	Brāmas	Bromin	Bróimín	Bròimin	Bromeen	Bromyn	Brom	Βρωμιο	Brom	Бром	Bromoa	ბრომი	Bromi	Broom	Bróm	Brom	Бром	Бром	Brom	Бром	臭素 [shuuso]	溴	โบรมีน	Brom	"Bromin, Brom"	بروم	Bromin	ברום	Bromo
36	Krypton	Krypton	Krypton	Krypton	Kripton	Krypton	Krypton	Krypton	Krypton	Krypton	Krypton	Krypton	Krypton	Criptón	Criptó	Cripton	Krípton	Cripton	Kripto	Criton	Kripton	Kripton	Cripton	Криптон	Криптон	Крыптон	Krypton	Kriptón	Krypton	Kryptón	Kripton	Kripton	Криптон	Kripton	Криптон	Криптон	Kriptonas	Kriptons	Kriptānas	Krupton	Crioptón	Criopton	Krypton	Crypton	Kripton	Κρυπτο	Kripton	Криптон	Kriptona	კრიპტონი	Krypton	Krüptoon	Kripton	Kripton	Криптон	Криптон	Kripton	Криптон	クリプトン [kuriputon]	氪	คริปทอน	Kripton	Kripton	كربتون	Kripton	קריפטון	Kriptono
37	Rubidium	Rubidium	Rubidium	Rubidium	Rubidium	Rubidium	Rubidium	Rubidium	Rubidium	Rúbidín	Rubidium	Rubidium	Rubidium	Rubidio	Rubidi	Rubidi	Rubídio	Rubidio	Rubidio	Rubidi	Rubidiu	Rubidiu	Rubidiumu	Рубидий	Рубідій	Рубідый	Rubid	Rubid	Rubidium	Rubidium	Rubidij	Rubidij	Рубидиjум	Rubidij	Рубидиум	Рубидий	Rubidis	Rubīdijs	Rubidis	Rwbidiwm	Rúbaidiam	Rubaidiam	Rubiddjum	Rubydyum	Rubidiom	Ρουβιdιο	Rubid	Рубидий	Rubidioa	რუბიდიუმი	Rubidium	Rubiidium	Rubídium	Rubidyum	Рубидий	Рубидий	Rubidi'	Рубиди	ルビジウム [rubijiumu]	銣	รูบิเดียม	Rubiđi	Rubidium	روبيديوم	Rubidjum	רובידיום	Rubidio
38	Strontium	Strontium	Strontium	Strontium	Strontium	Strontium	Strontium	Strontium	Strontium	Strontín	Strontium	Strontium	Strontium	Estroncio	Estronci	Estronci	Estrôncio	Estroncio	Stronzio	Stronzi	Stronţiu	Stronţiu	Strontsiumu	Стронций	Стронцій	Стронцый	Stront	Starnt	Stroncium	Stroncium	Stroncij	Stroncij	Стронциjум	Stroncij	Стронциум	Стронций	Stroncis	Stroncijs	Strāncijan	Strontiwm	Strointiam	Strointiam	Stroinçhum	Strontyum	Strontiom	Στροντιο	Stroncium	Стронций	Estrontzioa	სტორცინიუმი	Strontium	Strontsium	Stroncium	Stronsiyum	Стронций	Стронций	Stronci'	Стронци	ストロンチウム [sutoronchiumu]	鍶	สทรอนเชียม	Stronti	"Strontium, Stronsium"	سترانشيوم	Stronzjum	סטרונציום	Stroncio
39	Yttrium	Yttrium	Yttrium	Yttrium	Ittrium	Yttrium	Yttrium	Yttrium	Yttrium	Yttrín	Yttrium	Yttrium	Yttrium	Itrio	Itri	Ittri	Itrio	Itrio	Ittrio	Itri	Ytriu	Ytriu	Itriumu	Иттрий	Iтрій	Iтрый	Itr	Éter	Yttrium	Ytrium	Itrij	Itrij	Итриjум	Itrij	Итриум	Итрий	Itris	Itrijs	Itrijan	Ytriwm	Itriam	Itriam	Yttrium	Ytryum	Itriom	Υττριο	Itrium	Иттрий	Itrioa	იტრიუმი	Yttrium	Ütrium	Ittrium	İtriyum	Иттрий	Иттрий	Ittri'	Иттри	イットリウム [ittoriumu]	釔	อิตเทรียม	Ytri	"Yttrium, Itrium"	يتريوم	Ittrijum	איטריום	Itrio
40	Zirconium	Zirkonium	Zirkonium	Zirkonium	Sirkonium (Zirkonium)	Zirkonium	Zirkonium	Zirkonium	Zirkonium	Sirkon	Zirkon	Zirconium	Zirconium	Circonio	Zirconi	Zircòni	Zircónio	Circonio	Zirconio	Zirconi	Zirconiu	Zirconiu	Zirconiumu	Цирконий	Цирконій	Цырконій	Cyrkon	Cyrkón	Zirkonium	Zirkón	Cirkonij	Cirkonij	Циркониjум	Cirkonij	Циркониум	Цирконий	Cirkonis	Cirkonijs	Cirkonijan	Zirconiwm	Siorcóiniam	Siorcòiniam	Shirkonium	Zerconyum	Zirkoniom	Ζιρκονιο	Zirkonium	Цирконий	Zirkonioa	ცირკონიუმი	Zirkonium	Tsirkoonium	Cirkónium	Zirkonyum	Цирконий	Цирконий	Cirkoni'	Циркони	ジルコニウム [jirukoniumu]	鋯	เซอร์โคเนียม	Ziriconi	Zirkonium	زيركونيوم	Żirkonjum	זירקוניום	Zirkonio
41	Niobium	Niob	Niob	Niobium	Niobium	Niobium	Niobium	Niob	Niob	Nióbín	Niobium	Niobium	Niobium	Niobio	Niobi	Niòbi	Nióbio	Niobio	Niobio	Niobi	Niobiu	Niobiu	Niobiumu	Ниобий	Ніобій	Ніобій	Niob	Niób	Niob	Niób	Niobij	Niobij	Ниобиjум	Niobij	Ниобиум	Ниобий	Niobis	Niobijs	Niābijan	Niobiwm	Niaibiam	Niòibiam	Neeobium	Nyobyum	Niobiom	Νιοβιο	Niob	Ниобий	Niobioa	ნიობიუმი	Niobium	Nioobium	Nióbium	Niobyum	Ниобий	Ниобий	Niobi'	Ниоби	ニオブ [niobu]	鈮	ไนโอเบียม	Niobi	Niobium	نيوبيوم	Najobjum	ניוביום	Niobo
42	Molybdenum	Molybdän	Molybdän	Molybdeen	Molibdeen	Molybdeen	Molybdæn	Molybden	Molybden	Mólýbden	Molybden	Molybdenum	Molybdène	Molibdeno	Molibdèn	Molibdèn	Molibdénio	Molibdeno	Molibdeno	Molibden	Molibden	Molibden	Molibdenu	Молибден	Молібден	Малібдэн	Molibden	Molibdén	Molybden	Molybdén	Molibden	Molibden	Молибден	Molibden	Молибден	Молибден	Molibdenas	Molibdens	Mālibdenas	Molybdenwm	Molaibdéineam	Molaibdeanam	Molybdenum	Molybdenum	Molibden	Μολυβδενιο	Molibden	Молибден	Molibdenoa	მოლიბდენი	Molybdeeni	Molübdeen	Molibdén	Molibden	Молибден	Молибден	Molibden	Молибден	モリブデン [moribuden]	鉬	โมลิบดีนัม	"Molypđen, Molipđen"	Molibdenum	مولبيدنيوم	Molibdinum	מוליבדן	Molibdeno
43	Technetium	Technetium	Technetium	Technetium	Technetium	Technetium	Technetium	Teknetium	Technetium	Teknetín	Technetium	Technetium	Technétium	Tecnecio	Tecneci	Tecneci	Tecnécio	Tecnecio	Tecnezio	Tecnezi	Tehneţiu	Tehneţiu	Tehnetsiumu	Технеций	Технецій	Тэхнецый	Technet	Technet	Technecium	Technécium	Tehnecij	Tehnecij	Технициjум	Tehnecij	Технециум	Технеций	Technecis	Tehnēcijs	Technecis	Technetiwm	Teicnéitiam	Teicnèitiam	Çheghnaiçhum	Technytyum	Teknetiom	Τεχνητιο	Teknec	Технеций	Teknezioa	ტექნეციუმი	Teknetium	Tehneetsium	Technécium	Teknesyum	Технеций	Технеций	Tehneci'	Технеци	テクネチウム [tekunechiumu]	鍀	เทคนีเ�ียม	Tecnexi	"Teknetium, Teknisium"	تكنيتيوم	Teknizjum	טכנתיום	Teknecio
44	Ruthenium	Ruthenium	Ruthenium	Ruthenium	Rutenium	Ruthenium	Ruthenium	Rutenium	Ruthenium	Rúten	Ruthenium	Ruthenium	Ruthénium	Rutenio	Ruteni	Ruteni	Ruténio	Rutenio	Rutenio	Ruteni	Ruteniu	Ruteniu	Ruteniumu	Рутений	Рутеній	Рытэній	Ruten	Ruten	Ruthenium	Ruténium	Rutenij	Rutenij	Рутениjум	Rutenij	Рутениум	Рутений	Rutenis	Rutēnijs	Rutenijan	Rwtheniwm	Ruitéiniam	Ruitèiniam	Rutainium	Ruthenyum	Ruteniom	Ρουθηνιο	Ruten	Рутений	Rutenioa	რუთენიუმი	Rutenium	Ruteenium	Ruténium	Rutenyum	Рутений	Рутений	Ruteni'	Рутени	ルテニウム [ruteniumu]	釕	รูทีเนียม	Ruteni	Rutenium	روتينيوم	Rutinjum	רותניום	Rutenio
45	Rhodium	Rhodium	Rhodium	Rhodium	Rhodium	Rhodium	Rhodium	Rodium	Rhodium	Ródín	Rodium	Rhodium	Rhodium	Rodio	Rodi	Ròdi	Ródio	Rodio	Rodio	Rodi	Rodiu	Rodiu	Rodiumu	Родий	Родій	Родый	Rod	Ród	Rhodium	Ródium	Rodij	Rodij	Родиjум	Rodij	Родиум	Родий	Rodis	Rodijs	Rādijan	Rhodiwm	Róidiam	Ròidiam	Roydjum	Rhodyum	Rodiom	Ροdιο	Rodium	Родий	Rodioa	როდიუმი	Rodium	Roodium	Ródium	Rodyum	Родий	Родий	Rodi'	Роди	ロジウム [rojiumu]	銠	โรเดียม	Rođi	Rodium	روديوم	Rodjum	רודיום	Rodio
46	Palladium	Palladium	Palladium	Palladium	Palladium	Palladium	Palladium	Palladium	Palladium	Palladín	Palladium	Palladium	Palladium	Paladio	Palladi	Palladi	Paládio	Paladio	Palladio	Paladi	Paladiu	Paladiu	Paladiumu	Палладий	Паладій	Паладый	Pallad	Pallôd	Palladium	Paládium	Paladij	Paladij	Паладиjум	Paladij	Паладиум	Палладий	Paladis	Pallādijs	Paladijan	Paladiwm	Pallaidiam	Pallaidiam	Pallaadjum	Paladyum	Palladiom	Παλλαδιο	Palad	Палладий	Paladioa	პალადიუმი	Palladium	Pallaadium	Palládium	Palladyum	Палладий	Палладий	Palladi'	Паллади	パラジウム [parajiumu]	鈀	แพลเลเดียม	Palađi	Paladium	بلاديوم	Palladjum	פלדיום	Paladio
47	Silver	Silber	Sëlwer	Zilver	Silwer	Sulver	Sølv	Silver	Sølv	Silfur	Silvur	Argentum	Argent	Plata	Argent	Argent	Prata	Prata	Argento	Arint	Argint	Argint	Asime	Серебро	Срібло	Серабро	Srebro	Strzébro	Stříbro	Striebro	Srebro	Srebro	Сребро	Srebro	Сребро	Сребро	Sidabras	Sudrabs	Sirablas	Arian	Airgead	Airgead	Argid	Arhans	Arc'hant	Αργυρος	Argjend	Æвзист	Zilarra	ვერცხლი	Hopea	Hõbe	Ezüst	Gümüş	Күміс	Кумуш	Nukra	Мөнгө	銀 [gin]	銀	เงิน	Bạc	"Argentum, Perak"	فضة	Fidda	כסף	Argxento
48	Cadmium	Kadmium	Kadmium	Cadmium	Kadmium	Cadmium	Cadmium or Kadmium	Kadmium	Kadmium	Kadmín	Kadmium	Cadmium	Cadmium	Cadmio	Cadmi	Cadmi	Cádmio	Cadmio	Cadmio	Cadmi	Cadmiu	Cadmiu	Cadmiumu	Кадмий	Кадмій	Кадмій	Kadm	Kadm	Kadmium (Ladík †)	Kadmium	Kadmij	Kadmij	Кадмиjум	Kadmij	Кадмиум	Кадмий	Kadmis	Kadmijs	Kadmijan	Cadmiwm	Caidmiam	Caidmiam	Cadmium	Cadmyum	Kadmiom	Καδμιο	Kadmium	Кадмий	Kadmioa	კადმიუმი	Kadmium	Kaadmium	Kadmium	Kadmiyum	Кадмий	Кадмий	Kadmi'	Кадми	カドミウム [kadomiumu]	鎘	แคดเมียม	"Catmi, Cađimi"	Kadmium	كادميوم	Kadmjum	קדמיום	Kadmio
49	Indium	Indium	Indium	Indium	Indium	Indium	Indium	Indium	Indium	Indín	Indium	Indium	Indium	Indio	Indi	Indi	Índio	Indio	Indio	Indi	Indiu	Indiu	Indiumu	Индий	Iндій	Iндый	Ind	Jind	Indium	Indium	Indij	Indij	Индиjум	Indij	Индиум	Индий	Indis	Indijs	Indijan	Indiwm	Indiam	Indiam	Indjum	Eyndyum	Indiom	Ινδιο	Indium	Индий	Indioa	ინდიუმი	Indium	Indium	Indium	İndiyum	Индий	Индий	Indi'	Инди	インジウム [injiumu]	銦	อินเดียม	Indi	Indium	انديوم	Indjum	אינדיום	Indio
50	Tin	Zinn	Zënn	Tin	Tin	Tin	Tin	Tenn	Tinn	Tin	Tin	Stannum	Étain	Estaño	Estany	Estanh	Estanho	Estaño	Stagno	Stagn	Staniu (ro²: Cositor)	Staniu (ro²: Cositor)	Cãlae	Олово	Олово	Волава	Cyna	Cëna	Cín	Cín	Kositer	Kositar	Калаj	Kalaj	Калај	Калай	Alavas	Alva	Alvas	Tùn	Stán	Staoin	Stainney	Sten	Staen	Κασσιτερος	Kallaj	Къала	Eztainua	კალა	Tina	Tina	Ón	Kalay	Къалайы	Калай	Kalagi	Цагаан тугалга	スズ [suzu]	錫	ดีบุก	Thiếc	"Stanum, Timah"	قصدير	Landa	בדיל	Stano
51	Antimony	Antimon	Antimon	Antimoon	Antimoon	Antimoon	Antimon	Antimon	Antimon	Antímon	Antimon	Stibium	Antimoine	Antimonio	Antimoni	Antimòni	Antimónio	Antimonio	Antimonio	Antimoni	Stibiu (ro²: Antimoniu)	Stibiu (ro²: Antimoniu)	Antimonu	Сурьма	Сурма	Сурма	Antymon	Antimón	Antimon	Antimón	Antimon	Antimon	Антимон	Antimon	Антимон	Антимон	Stibis	Antimons	Stibijan	Antimoni	Antamón	Antamòn	Antimoan	Antymony	Antimoan	Αντιμονιο	Antimon	Сурьма	Antimonioa	სტიიუმი	Antimoni	Antimon	Antimon	Antimon	Сурьма	Сурьма	Sur'ma	"Сурьма, Будаг"	"アンチモン アンチモニー [anchimon, anchimonii]"	銻	พลวง	Antimon	"Antimoni, Antimonium"	انتيمون	Antimoni	אנטימון	Antimono
52	Tellurium	Tellur	Tellur	Telluur	Telluur	Telluur	Tellur	Tellur	Tellur	Tellúr	Tellur	Tellurium	Tellure	Teluro	Telluri	Telluri	Telúrio	Telurio	Tellurio	Teluri	Telur	Telur	Teluru	Теллур	Телур	Тэлур	Tellur	Tellur	Tellur	Telúr	Telur	Telurij	Телур	Telur	Телур	Телур	Telūras	Telūrs	Teluras	Telwriwm	Teallúiriam	Teallùiriam	Çhellurium	Teluryum	Tellur	Τελλουριο	Telur	Теллур	Telurioa	ტელური	Telluuri	Telluur	Tellúr	Tellur	Теллур	Теллур	Tellur	Теллур	テルル [teruru]	碲	เทลลูเรียม	"Telua, Telu"	Telurium	تيلوريوم	Tellurjum	טלוריום	Teluro
53	Iodine	Iod (Jod)	Jod	Jood	Jood	Joadium	Jod	Jod	Jod	Joð	Jod	Iodium	Iode	Yodo	Iode	Iòde	Iodo	Iodo	Iodio	Jodi	Iod	Iod	Iodu	Йод	Йод	Ёд	Jod	Jód	Jod	Jód	Jod	Jod	Jод	Jod	Јод	Йод	Jodas	Jods	Jādas	Ïodin	Iaidín	Ìodain	Eeadeen	Eyodyn	Iod	Ιωδιο	Jod	Йод	Iodoa	იოდი	Jodi	Jood	Jód	İyod	Йод	Йод	Iod	Иод	ヨウ素 [youso]	碘	ไอโอดีน	"Iot, Iođ"	"Iodin, Yodium"	يود	Jodju	יוד	Jodo
54	Xenon	Xenon	Xenon	Xenon	Xenon	Xenon	Xenon	Xenon	Xenon	Xenon	Xenon	Xenon	Xénon	Xenón	Xenó	Xenon	Xénon	Xenon	Xeno	Xenon	Xenon	Xenon	Xenon	Ксенон	Ксенон	"Ксенон, Ксэнон"	Ksenon	Ksenón	Xenon	Xenón	Ksenon	Ksenon	Ксенон	Ksenon	Ксенон	Ксенон	Ksenonas	Ksenons	Ksenānas	Xenon	Xeanón	Xeanon	Xenon	Xenon	Ksenon	Ξενο	Ksenon	Ксенон	Xenona	ქსენონი	Ksenon	Ksenoon	Xenon	Ksenon	Ксенон	Ксенон	Ksenon	Ксенон	キセノン [kisenon]	氙	ซีนอน	Xenon	"Xenon, Senon"	إكسينون	Żenon	קסנון	Ksenono
55	Cesium	Zäsium	Zäsium	Cesium	Sesium	Cesium	Cæsium or Cesium	Cesium	Cesium	Sesín	Cæsium	Caesium	Césium	Cesio	Cesi	Cesi	Césio	Cesio	Cesio	Cesi	Cesiu (mo: Ceziu)	Cesiu (mo: Ceziu)	Tseziumu	Цезий	Цезій	Цэзій	Cez	Céz	Cesium	Cézium	Cezij	Cezij	Цезиjум	Cezij	Цезиум	Цезий	Cezis	Cēzijs	Cezijan	Cesiwm	Caeisiam	Caesiam	Kaishum	Cesyum	Seziom	Καισιο	Cezium	Цезий	Zesioa	ცეზიუმი	Cesium	Tseesium	Cézium	Sezyum	Цезий	Цезий	Cezi'	Цези	セシウム [seshiumu]	銫	ซีเซียม	"Xezi, Xêzi"	Sesium	سيزيوم	Siżjum	צזיום	Cezio
56	Barium	Barium	Barium	Barium	Barium	Barium	Barium	Barium	Barium	Barín	Barium	Barium	Baryum	Bario	Bari	Bari	Bário	Bario	Bario	Bari	Bariu	Bariu	Bariumu	Барий	Барій	Барый	Bar	Bar	Baryum	Bárium	Barij	Barij	Бариjум	Barij	Бариум	Барий	Baris	Bārijs	Barijan	Bariwm	Bairiam	Bairiam	Baarium	Baryum	Bariom	Βαριο	Barium	Барий	Barioa	ბარიუმი	Barium	Baarium	Bárium	Baryum	Барий	Барий	Bari'	Бари	バリウム [bariumu]	鋇	แบเรียม	Bari	Barium	باريوم	Barjum	בריום	Bario
57	Lanthanum	Lanthan	Lanthan	Lanthaan	Lantaan	Lanthaan	Lanthan	Lantan	Lantan	Lantan or Lanþan	Lanthan	Lanthanum	Lanthane	Lantano	Lantani	Lantan	Lantâno	Lantano	Lantanio	Lantani	Lantan	Lantan	Lantan	Лантан	Лантан	Лантан	Lantan	Lantón	Lanthan	Lantán	Lantan	Lantan	Лантан	Lantan	Лантан	Лантан	Lantanas	Lantāns	Lantanas	Lanthanwm	Lantainam	Lantanam	Lantanum	Lanthanum	Lantan	Λανθανιο	Lantan	Лантан	Lantanoa	ლანთანი	Lantaani	Lantaan	Lantán	Lantan	Лантан	Лантан	Lantan	Лантан	ランタン [rantan]	鑭	แลนทานัม	Lantan	Lanthanum	لنثانوم	Lantanum	לנתן	Lantano
58	Cerium	Zer	Zer	Cerium	Serium	Cerium	Cerium	Cerium	Cerium	Serín	Cerium	Cerium	Cérium	Cerio	Ceri	Ceri	Cério	Cerio	Cerio	Ceri	Ceriu	Ceriu	Tseriumu	Церий	Церій	Цэрый	Cer	Cer	Cer	Cér	Cerij	Cerij	Цериjум	Cerij	Цериум	Церий	Ceris	Cerijs	Cerijan	Ceriwm	Ceiriam	Ceiriam	Kerrium	Keryum	Seriom	Δημητριο	Cerium	Церий	Zerioa	ცერიუმი	Cerium	Tseerium	Cérium	Seryum	Церий	Церий	Ceri'	Цери	セリウム [seriumu]	鈰	ซีเรียม	Xeri	"Serium, Cerium"	سيريوم	Sirjum	סריום	Cerio
59	Praseodymium	Praseodym	Praseodym	Praseodymium	Praseodimium	Praseodymium	Praseodymium	Praseodym	Praseodym	Praseódým	Praseodymium	Praseodymium	Praséodyme	Prosedimio	Praseodimi	Praseodimi	Praseodímio	Praseodimio	Praseodimio	Praseodimi	Praseodim (mo: Praseodiu)	Praseodim (mo: Praseodiu)	Prazeoodimiumu	Празеодий	Празеодим	Празеадым	Prazeodym	Prazeòdim	Praseodym	Prazeodým	Prazeodim	Praseodimij	Празеодиjум	Praseodimij	Празеодимиум	Празеодим	Prazeodimis	Praseodīms	Prazeādimis	Praseodiwm	Praiséidimiam	Praiseoidimiam	Prashodymmium	Prasodyum	Prazeodim	Πρασεοδυμιο	Prazeodim	Празеодий	Praseodimioa	პრაზეოდიმი	Praseodyymi	Praseodüüm	Prazeodímium	Praseodim	Празеодий	Празеодий	Prazeodim	Празеодим	プラセオジム [puraseojimu]	鐠	เพรซิโอดิเมียม	Prazeođim	Praseodimium	براسوديميوم	Praseodimjum	פרסיאודימיום	Prazeodimo
60	Neodymium	Neodym	Neodym	Neodymium	Neodimium	Neodymium	Neodym	Neodym	Neodym	Neodým	Neodym	Neodymium	Néodyme	Neodimio	Neodimi	Neodimi	Neodímio	Neodimio	Neodimio	Neodimi	Neodim (mo: Neodiu)	Neodim (mo: Neodiu)	Neodimiumu	"Ниодимий, Неодим"	Неодим	Неадым	Neodym	Neòdim	Neodym	Neodym	Neodim	Neodimij	Неодиjум	Neodimij	Неодиумиум	Ниодим	Neodimis	Neodīms	Neādimis	Neodymiwm	Neoidimiam	Neoidimiam	Neodimmium	Neodymyum	Neodim	Νεοδυμιο	Neodim	Неодим	Neodimioa	ნეოდიმი	Neodyymi	Neodüüm	Neodimium	Neodim	Неодим	Неодим	Neodim	Неодим	ネオジム [neojimu]	釹	นีโอดิเมียม	Neođim	Neodimium	نيودميوم	Neodimjum	ניאודימיום	Neodimo
61	Promethium	Promethium	Promethium	Promethium	Promethium	Promethium	Promethium	Prometium	Promethium	Prómetín or Prómeþín	Promethium	Promethium	Prométhium	Promecio	Prometi	Prometi	Promécio	Prometio	Promezio	Prometi	Promeţiu	Promeţiu	Prometiumu	Прометий	Прометій	Праметый	Promet	Promet	Promethium	Promethium	Prometij	Prometij	Прометиjум	Prometij	Прометиум	Прометий	Prometis	Prometijs	Prāmetijan	Promethiwm	Próméitiam	Promèitiam	Promaiçhum	Promethyum	Prometiom	Προμηθειο	Promet	Прометий	Prometioa	პრომეთიუმი	Prometium	Promeetium	Promécium	Prometyum	Прометий	Прометей	Prometi'	Промети	プロメチウム [puromechiumu]	鉅	โพรมีเทียม	Prometi	Prometium	بروميثيوم	Promizjum	פרומתיום	Promecio
62	Samarium	Samarium	Samarium	Samarium	Samarium	Samarium	Samarium	Samarium	Samarium	Samarín	Samarium	Samarium	Samarium	Samario	Samari	Samari	Samário	Samario	Samario	Samari	Samariu	Samariu	Samariumu	Самарий	Самарій	Самарый	Samar	Samar	Samarium	Samarium	Samarij	Samarij	Самариjум	Samarij	Самариум	Самарий	Samaris	Samārijs	Samarijan	Samariwm	Samairiam	Samairiam	Samaarium	Samaryum	Samariom	Σαμαριο	Samarium	Самарий	Samarioa	სამარიუმი	Samarium	Samaarium	Szamárium	Samaryum	Самарий	Самарий	Samari'	Самари	サマリウム [samariumu]	釤	ซาแมเรียม	Samari	Samarium	ساماريوم	Samarjum	סמריום	Samario
63	Europium	Europium	Europium	Europium	Europium	Europium	Europium	Europium	Europium	Evropín	Europium	Europium	Europium	Europio	Europi	Euròpi	Európio	Europio	Europio	Europi	Europiu	Europiu	Europiumu	Европий	Європій	Еўропій	Europ	Europ	Europium	Europium	Evropij	Europij	Еуропиjум	Europij	Европиум	Европий	Europis	Eiropijs	Eurāpis	Ewropiwm	Eoraipiam	Eoraipiam	Oarpium	Europyum	Europiom	Ευρωπιο	Europ	Европий	Europioa	ეუროპიუმი	Europium	Euroopium	Európium	Europyum	Европий	Европий	Evropi'	Европи	ユウロピウム [yuuropiumu]	銪	ยูโรเพียม	Europi	"Europium, Eropium"	يروبيوم	Uropjum	אירופיום	Euxropio
64	Gadolinium	Gadolinium	Gadolinium	Gadolinium	Gadolinium	Gadolinium	Gadolinium	Gadolinium	Gadolinium	Gadólín	Gadolinium	Gadolinium	Gadolinium	Gadolineo	Gadolini	Gadolini	Gadolínio	Gadolinio	Gadolinio	Gadolini	Gadoliniu	Gadoliniu	Gadoliniumu	Гадолиний	Гадоліній	Гадаліній	Gadolin	Gadolin	Gadolinium	Gadolinium	Gadolinij	Gadolinij	Гадолиниjум	Gadolinij	Гадолиниум	Гадолиний	Gadolinis	Gadolīnijs	Gadālinis	Gadoliniwm	Gadailiniam	Gadailiniam	Gadolinnium	Gadolynyum	Gadoliniom	Γαδολινιο	Gadolin	Гадолиний	Gadolinioa	გადოლინიუმი	Gadolinium	Gadoliinium	Gadolínium	Gadolinyum	Гадолиний	Гадолиний	Gadilini'	Гадолини	ガドリニウム [gadoriniumu]	釓	แกโดลิเนียม	Gađolini	Gadolinium	جدولينيوم	Gadolinjum	גדוליניום	Gadolinio
